nombre,apellidoP,apellidoM,correo,telefono,estado,calle,municipio,numero,cp,rfc,edad,salario,antiguedad,nss,curp,noPuntos,esParrillero,esMesero,esCajero,esTortillero,esRepartidor,fechaIngreso
Bent,Heitz,Holtaway,bholtaway1@friendfeed.com,1054146623,Zacatecas,Hazelcrest,Copainal,77620,62120,UJHB647830VRU,20,63021.68,32,9596470991,UBOG436919QJHHYUHN,24683,FALSE,TRUE,TRUE,FALSE,TRUE,1/16/2022
Cortie,Penning,McManamen,cmcmanamen3@twitpic.com,593339463,Guerrero,Butternut,Mixistln de la Reforma,44992,51131,BAMU639277DIV,18,31773.86,28,5275414044,,,TRUE,TRUE,FALSE,FALSE,TRUE,9/2/2021
Kristyn,Ince,Doak,kdoak5@mlb.com,503231148,Queretaro,Nobel,Mineral del Chico,869,28060,HUWT372388QIA,50,24688.04,7,5436288603,,,FALSE,TRUE,FALSE,FALSE,TRUE,3/3/2018
Sherry,Kite,Menhenitt,smenhenitt7@blogger.com,9657917382,Tlaxcala,Kennedy,Yutanduchi de Guerrero,64421,49681,IMMU424098HOT,30,76027.2,14,6000593991,,,TRUE,TRUE,TRUE,TRUE,TRUE,5/22/2021
Otto,Magor,Greest,ogreest8@instagram.com,7058127258,Queretaro,Bunting,Ixhuatln de Madero,6,98540,ZAJR727665KOO,53,98316.2,27,5174558333,,,TRUE,TRUE,TRUE,TRUE,FALSE,8/4/2021
Cookie,Rojas,Garbert,cgarbert9@state.tx.us,6822748352,Zacatecas,Utah,Nuevo Casas Grandes,4,2418,DRUX834171ZYS,2,5068.22,5,6968829586,,,FALSE,TRUE,FALSE,TRUE,FALSE,5/27/2019
Risa,Seedhouse,Bronger,rbrongerc@columbia.edu,5954107151,Guerrero,Summer Ridge,Nochistln de Meja,94,95020,KCGF697836MRZ,29,59580.69,34,7656994293,,,TRUE,TRUE,FALSE,TRUE,TRUE,7/4/2021
Pincus,Lind,Lonie,plonied@yale.edu,7988244329,Chihuahua,Dorton,Santiago Lalopa,8417,54915,JQKE425884QII,96,52397.83,15,9381142729,,,FALSE,TRUE,FALSE,FALSE,TRUE,11/11/2019
Maisie,Schmuhl,Bennoe,mbennoeh@printfriendly.com,6633359312,Veracruz de Ignacio de la Llave,Rowland,Rojas de Cuauhtmoc,67,39081,YKKA237956ZPI,5,40904.22,11,5336640891,,,TRUE,TRUE,TRUE,TRUE,FALSE,9/7/2021
Connor,Ever,Fannin,cfanninj@abc.net.au,5750466283,Yucatan,Miller,Tanquin de Escobedo,54517,74445,OKNT169132ZWS,26,62235.89,32,3388521700,PJAV098374EZOEZTZW,7431,TRUE,TRUE,TRUE,FALSE,TRUE,5/7/2020
Ellis,Habishaw,Huelin,ehuelinl@tinypic.com,4664691765,Coahuila de Zaragoza,Dryden,Huajicori,3708,95914,SENT795096PVZ,87,52196.73,32,6182366570,RONT049651AIFNOZKV,18155,FALSE,TRUE,FALSE,TRUE,TRUE,11/13/2018
Beatrix,Mengue,Jewel,bjewelm@chronoengine.com,4559080151,Michoac?要,Namekagon,Bacalar,5809,63004,FZES627298BNF,50,79129.43,36,1845906864,,,FALSE,TRUE,TRUE,TRUE,TRUE,2/3/2022
Carin,Hurnell,Reimer,creimero@prlog.org,4857632164,San Luis Potosi,Elgar,Mineral de la Reforma,58,18655,GSJM437935LLM,98,99765.75,19,4153260958,,,TRUE,TRUE,FALSE,FALSE,FALSE,11/27/2020
Zelda,Isacq,Buckthorp,zbuckthorp13@microsoft.com,3654106370,M??xico,Parkside,San Pedro Ixtlahuaca,5,17569,NVEO872794ARQ,31,36767.32,5,6445419642,,,FALSE,TRUE,FALSE,FALSE,FALSE,12/24/2019
Kathleen,Bartke,Riepl,kriepl14@google.it,9335273094,Sinaloa,Columbus,Ixpantepec Nieves,215,2913,QUIW916478DER,46,16906.4,20,4312975146,,,FALSE,TRUE,TRUE,TRUE,TRUE,11/2/2020
Elysee,Jodlowski,Tetther,etetther16@bigcartel.com,991640359,Baja California,Arizona,Ayotln,2,93618,ALTF341480WIM,51,79777.23,1,4192902151,,,FALSE,TRUE,TRUE,FALSE,TRUE,2/19/2022
Ally,Voce,Girauld,agirauld1a@livejournal.com,9103994306,Jalisco,La Follette,Santa Mara Sola,2447,33463,ECZY278458PJJ,100,48027.35,17,4674530257,,,FALSE,TRUE,FALSE,FALSE,TRUE,3/22/2020
Smitty,Deners,Wurst,swurst1h@hibu.com,2469974504,Oaxaca,Graedel,San Julin,0,97167,SLOM595927XOI,66,14324.04,17,9242147301,,,FALSE,TRUE,FALSE,FALSE,TRUE,3/3/2018
Markus,Heinle,Cleobury,mcleobury1j@purevolume.com,3290322056,Michoac?要,Mariners Cove,Tlanepantla,9590,22859,RZFI817165QNR,41,35761.09,29,364464572,MCDX168106TENIKMZB,40220,TRUE,TRUE,FALSE,FALSE,FALSE,2/13/2020
Wynne,Caslane,Navarijo,wnavarijo1k@blogs.com,4842793256,M??xico,Dottie,La Huacana,40,99671,DVIT795259OIY,22,86269.57,25,461367448,ZJQQ916144YJSIBNXV,12328,TRUE,TRUE,TRUE,FALSE,TRUE,8/25/2018
Norean,Willshear,Massel,nmassel1l@artisteer.com,2292892740,Chiapas,Ridgeway,Santiago Tamazola,687,29239,NBWM712492VTK,18,58397,25,9056211447,,,FALSE,TRUE,TRUE,FALSE,TRUE,1/8/2018
Sybila,Croy,Turvey,sturvey1m@liveinternet.ru,9043769348,Zacatecas,Buhler,San Juan Atepec,6273,98751,AGHL540541AIF,78,3035.16,28,3728677753,,,TRUE,TRUE,TRUE,TRUE,TRUE,8/27/2021
Brendon,Doolan,Brosi,bbrosi1o@vkontakte.ru,772320137,San Luis Potosi,Barby,Ajuchitln del Progreso,72709,31537,NWFT915681DTX,7,52823.91,18,3878245454,POVN317642RXRFFWQY,13515,TRUE,TRUE,TRUE,TRUE,TRUE,2/13/2021
Ediva,Clout,Brunstan,ebrunstan1r@ocn.ne.jp,9111133746,Morelos,Fuller,San Miguel Piedras,61078,79486,BFYF004042HFJ,42,18968.24,9,4981128769,LUVZ885376CGOKZCNP,27219,TRUE,TRUE,TRUE,FALSE,FALSE,11/10/2020
Clifford,Augar,Dell Casa,cdellcasa1s@fda.gov,8987327505,Colima,Rockefeller,Zumpahuacn,3039,68133,VSXE753482HNF,55,65069.51,5,7785478794,,,TRUE,TRUE,FALSE,FALSE,FALSE,7/25/2021
Mariejeanne,Gunnell,Fassum,mfassum1w@360.cn,8019961414,Guanajuato,Welch,San Miguel Mixtepec,649,82723,SRIX558101SXW,34,51510.57,28,5658889310,,,FALSE,TRUE,FALSE,FALSE,FALSE,12/21/2018
