idPersona,esEmpleado,esCliente,esProveedor,idSucursal,nombre,apellidoP,apellidoM,correo,telefono,estado,calle,municipio,numero,cp,rfc,edad,salario,antiguedad,nss,curp,noPuntos,esParrillero,esMesero,esCajero,esTortillero,esRepartidor,fechaIngreso
1332119756,true,true,false,2222748404,D'arcy,Galero,Berthon,dberthon0@bbc.co.uk,0795596920,Oaxaca,Kensington,San Matas Tlalancaleca,78,58405,MNQI522363TII,12,98347.37,32,2571327604,VNKK501174UBBTFTFU,3665,true,false,false,false,true,2019-08-29
6063150911,true,true,true,9218200143,Bent,Heitz,Holtaway,bholtaway1@friendfeed.com,1054146623,Zacatecas,Hazelcrest,Copainal,77620,62120,UJHB647830VRU,20,63021.68,32,9596470991,UBOG436919QJHHYUHN,24683,false,true,true,false,true,2022-01-16
4448788363,true,true,true,5795416030,Norean,Hallatt,Gosland,ngosland2@ning.com,5100906475,Coahuila de Zaragoza,Del Mar,Guadalupe,1,32156,IFAL949222XNT,40,50000.0,28,6231950800,DXEX938168DBXHABWC,46491,true,false,false,true,false,2022-02-05
4685253514,true,false,true,6210563128,Cortie,Penning,McManamen,cmcmanamen3@twitpic.com,0593339463,Guerrero,Butternut,Mixistln de la Reforma,44992,51131,BAMU639277DIV,18,31773.86,28,5275414044,,,true,true,false,false,true,2021-09-02
8170158101,false,false,false,,Gav,Aspinall,Woan,gwoan4@bloglines.com,2624492610,Nayarit,Kinsman,San Felipe,20,00755,IAPX254866DFJ,,,,,,,false,false,false,false,false,
3270748967,true,false,false,1315456437,Kristyn,Ince,Doak,kdoak5@mlb.com,0503231148,Queretaro,Nobel,Mineral del Chico,869,28060,HUWT372388QIA,50,24688.04,7,5436288603,,,false,true,false,false,true,2018-03-03
3277409555,false,true,false,,Timmi,Byfield,Tuffrey,ttuffrey6@godaddy.com,5659371324,Veracruz de Ignacio de la Llave,Oxford,Santa Mara Ipalapa,8,93986,BICB574881IJF,,,,,DOCP989385TNYQBJCQ,37324,false,false,false,false,false,
4640330076,true,false,false,6682277867,Sherry,Kite,Menhenitt,smenhenitt7@blogger.com,9657917382,Tlaxcala,Kennedy,Yutanduchi de Guerrero,64421,49681,IMMU424098HOT,30,76027.2,14,6000593991,,,true,true,true,true,true,2021-05-22
3591906541,true,false,true,9974218067,Otto,Magor,Greest,ogreest8@instagram.com,7058127258,Queretaro,Bunting,Ixhuatln de Madero,006,98540,ZAJR727665KOO,53,98316.2,27,5174558333,,,true,true,true,true,false,2021-08-04
4740409422,true,false,false,5598754744,Cookie,Rojas,Garbert,cgarbert9@state.tx.us,6822748352,Zacatecas,Utah,Nuevo Casas Grandes,4,02418,DRUX834171ZYS,2,5068.22,5,6968829586,,,false,true,false,true,false,2019-05-27
9210122320,false,false,true,,Gothart,Ditchfield,Mazzei,gmazzeia@wikispaces.com,7649378081,Durango,Colorado,Asuncin Ixtaltepec,0006,08214,MOYS370572KIA,,,,,,,false,false,false,false,false,
6116737685,false,true,false,,Nellie,Wallis,Krinks,nkrinksb@devhub.com,4893155963,Michoacán,Bunker Hill,Tocumbo,276,21623,NYYR053987CXH,,,,,YSDD113427UDHVHCJV,35503,false,false,false,false,false,
